Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Abilene Police Dept,TX,12,120686,571,7,,93,128,343,5344,1095,3887,362,473.1,5.8,,77.1,106.1,284.2,4428,907.3,3220.8,300
Akron City Police Dept,OH,12,197891,1366,26,,176,436,728,9123,2883,5660,580,690.3,13.1,,88.9,220.3,367.9,4610.1,1456.9,2860.2,293.1
Albuquerque Police Dept,NM,12,558874,4934,30,402,,1381,3121,30437,6123,20756,3558,882.8,5.4,71.9,,247.1,558.4,5446.1,1095.6,3713.9,636.6
Alexandria Police Dept,VA,12,151065,280,4,,25,142,109,2983,259,2457,267,185.4,2.6,,16.5,94,72.2,1974.6,171.4,1626.5,176.7
Allentown City Police Dept,PA,12,118710,611,9,,66,312,224,3821,940,2608,273,514.7,7.6,,55.6,262.8,188.7,3218.8,791.8,2197,230
Amarillo Police Dept,TX,12,197724,1353,7,,238,283,825,9389,1845,6690,854,684.3,3.5,,120.4,143.1,417.2,4748.5,933.1,3383.5,431.9
Amherst Town Police Dept,NY,12,118860,128,1,,16,43,68,2066,176,1846,44,107.7,0.8,,13.5,36.2,57.2,1738.2,148.1,1553.1,37
Anaheim Police Dept,CA,12,346956,1101,14,79,,418,590,8196,1301,5620,1275,317.3,4,22.8,,120.5,170.1,2362.3,375,1619.8,367.5
Anchorage Police Dept,AK,12,301306,2605,12,,392,496,1705,11531,1375,9217,939,864.6,4,,130.1,164.6,565.9,3827,456.3,3059,311.6
Ann Arbor Police Dept,MI,12,117768,195,0,,57,24,114,2215,320,1790,105,165.6,0,,48.4,20.4,96.8,1880.8,271.7,1519.9,89.2
Antioch Police Dept,CA,12,108223,849,9,,54,320,466,4190,1317,1850,1023,784.5,8.3,,49.9,295.7,430.6,3871.6,1216.9,1709.4,945.3
Arlington Police Dept,TX,12,382976,1854,13,,206,493,1142,13462,2470,10086,906,484.1,3.4,,53.8,128.7,298.2,3515.1,644.9,2633.6,236.6
Arvada Police Dept,CO,12,113008,169,1,,43,32,93,2666,344,2168,154,149.5,0.9,,38.1,28.3,82.3,2359.1,304.4,1918.4,136.3
Athens-Clarke County Police Department,GA,12,121511,372,4,38,,125,205,3792,761,2844,187,306.1,3.3,31.3,,102.9,168.7,3120.7,626.3,2340.5,153.9
Atlanta Police Dept,GA,12,454363,5577,93,151,,2329,3004,26114,5470,16498,4146,1227.4,20.5,33.2,,512.6,661.1,5747.4,1203.9,3631,912.5
Aurora Police Dept,CO,12,350948,1430,9,,273,414,734,9963,1813,7087,1063,407.5,2.6,,77.8,118,209.1,2838.9,516.6,2019.4,302.9
Aurora Police Dept,IL,12,200419,558,8,,43,108,399,2982,509,2356,117,278.4,4,,21.5,53.9,199.1,1487.9,254,1175.5,58.4
Austin Police Dept,TX,12,903924,3581,32,,571,873,2105,37444,5733,29423,2288,396.2,3.5,,63.2,96.6,232.9,4142.4,634.2,3255,253.1
Bakersfield Police Dept,CA,12,367406,1678,17,21,,660,980,14595,4065,8247,2283,456.7,4.6,5.7,,179.6,266.7,3972.4,1106.4,2244.7,621.4
Baltimore City Police Dept,MD,12,623513,8346,211,245,,3677,4213,29420,6926,18008,4486,1338.5,33.8,39.3,,589.7,675.7,4718.4,1110.8,2888.2,719.5
Baton Rouge Police Dept,LA,12,229387,2120,53,,73,852,1142,10270,2772,6986,512,924.2,23.1,,31.8,371.4,497.8,4477.1,1208.4,3045.5,223.2
Beaumont Police Dept,TX,12,117898,1050,16,,91,293,650,5530,1456,3861,213,890.6,13.6,,77.2,248.5,551.3,4690.5,1235,3274.9,180.7
Bellevue Police Dept,WA,12,135449,144,2,25,,65,52,4606,630,3662,314,106.3,1.5,18.5,,48,38.4,3400.5,465.1,2703.6,231.8
Berkeley Police Dept,CA,12,117753,431,3,,35,263,130,5102,932,3615,555,366,2.5,,29.7,223.3,110.4,4332.8,791.5,3070,471.3
Billings Police Dept,MT,12,110245,420,10,,72,54,284,4961,634,3765,562,381,9.1,,65.3,49,257.6,4500,575.1,3415.1,509.8
Birmingham Police Dept,AL,12,212115,3369,52,,182,1051,2084,13929,3750,8743,1436,1588.3,24.5,,85.8,495.5,982.5,6566.7,1767.9,4121.8,677
Boise Police Dept,ID,12,216260,624,4,,120,56,444,4513,693,3628,192,288.5,1.8,,55.5,25.9,205.3,2086.8,320.4,1677.6,88.8
Boston Police Dept,MA,12,654413,4749,53,280,,1680,2736,17269,2680,13077,1512,725.7,8.1,42.8,,256.7,418.1,2638.9,409.5,1998.3,231
Boulder Police Dept,CO,12,104284,245,1,,43,28,173,2780,482,2148,150,234.9,1,,41.2,26.8,165.9,2665.8,462.2,2059.8,143.8
Bridgeport Police Dept,CT,12,147822,1338,11,,92,546,689,4285,1129,2402,754,905.1,7.4,,62.2,369.4,466.1,2898.8,763.8,1624.9,510.1
Broken Arrow Police Dept,OK,12,104592,148,0,,31,43,74,1716,369,1236,111,141.5,0,,29.6,41.1,70.8,1640.7,352.8,1181.7,106.1
Brownsville Police Dept,TX,12,183433,558,5,,103,138,312,7505,1068,6258,179,304.2,2.7,,56.2,75.2,170.1,4091.4,582.2,3411.6,97.6
Buffalo Police Dept,NY,12,258419,3173,60,,173,1277,1663,12449,3119,8362,968,1227.9,23.2,,66.9,494.2,643.5,4817.4,1207,3235.8,374.6
Burbank Police Dept,CA,12,105041,150,1,14,,55,80,2426,296,1948,182,142.8,1,13.3,,52.4,76.2,2309.6,281.8,1854.5,173.3
Cambridge Police Dept,MA,12,108201,302,2,,22,90,188,2610,291,2189,130,279.1,1.8,,20.3,83.2,173.8,2412.2,268.9,2023.1,120.1
Cape Coral Police Dept,FL,12,168712,242,4,,11,41,186,3271,679,2440,152,143.4,2.4,,6.5,24.3,110.2,1938.8,402.5,1446.3,90.1
Carslbad Police Dept,CA,12,112297,204,1,14,,44,145,1731,331,1272,128,181.7,0.9,12.5,,39.2,129.1,1541.4,294.8,1132.7,114
Carrollton Police Dept,TX,12,128577,166,1,,6,54,105,2784,510,2028,246,129.1,0.8,,4.7,42,81.7,2165.2,396.6,1577.3,191.3
Cary Police Dept,NC,12,154978,98,3,6,,33,56,1711,325,1331,55,63.2,1.9,3.9,,21.3,36.1,1104,209.7,858.8,35.5
Cedar Rapids Police Dept,IA,12,128901,388,8,,43,128,209,5043,946,3814,283,301,6.2,,33.4,99.3,162.1,3912.3,733.9,2958.9,219.5
Centennial,CO,12,107485,142,0,,26,14,102,1298,233,995,70,132.1,0,,24.2,13,94.9,1207.6,216.8,925.7,65.1
Chandler Police Dept,AZ,12,252369,466,1,,60,111,294,5643,954,4461,228,184.7,0.4,,23.8,44,116.5,2236,378,1767.6,90.3
Charleston City Police Dept,SC,12,129867,273,9,,26,77,161,2984,351,2456,177,210.2,6.9,,20,59.3,124,2297.7,270.3,1891.2,136.3
Charlotte-Mecklenburg Police Department,NC,12,856916,5054,47,210,,1586,3211,30565,6031,22827,1707,589.8,5.5,24.5,,185.1,374.7,3566.9,703.8,2663.9,199.2
Chattanooga Police Dept,TN,12,174449,1697,27,,106,348,1216,11000,2093,7891,1016,972.8,15.5,,60.8,199.5,697.1,6305.6,1199.8,4523.4,582.4
Chesapeake Police Dept,VA,12,232489,999,10,,68,180,741,6429,1013,5126,290,429.7,4.3,,29.2,77.4,318.7,2765.3,435.7,2204.8,124.7
Chicago Police Dept,IL,12,2724121,,415,,1388,9800,12530,85351,14554,60800,9997,,15.2,,51,359.7,460,3133.2,534.3,2231.9,367
Chula Vista Police Dept,CA,12,259894,612,7,40,,214,351,4524,613,3091,820,235.5,2.7,15.4,,82.3,135.1,1740.7,235.9,1189.3,315.5
Cincinnati Police Dept,OH,12,297671,2719,60,,248,1358,1053,16680,4842,10734,1104,913.4,20.2,,83.3,456.2,353.7,5603.5,1626.6,3606,370.9
Clarksville Police Dept,TN,12,144639,970,10,,71,100,789,4285,976,3124,185,670.6,6.9,,49.1,69.1,545.5,2962.5,674.8,2159.9,127.9
Clearwater Police Dept,FL,12,110075,641,7,,56,195,383,4283,755,3318,210,582.3,6.4,,50.9,177.2,347.9,3891,685.9,3014.3,190.8
Cleveland,OH,12,388655,5205,63,,495,2992,1655,21216,6963,10403,3850,1339.2,16.2,,127.4,769.8,425.8,5458.8,1791.6,2676.7,990.6
Clovis Police Dept,CA,12,100705,216,1,28,,48,139,3064,791,2065,208,214.5,1,27.8,,47.7,138,3042.6,785.5,2050.5,206.5
City Of College Station Police Dept,TX,12,101483,191,0,,45,31,115,2343,517,1748,78,188.2,0,,44.3,30.5,113.3,2308.8,509.4,1722.5,76.9
